course_id,title,view_count,rating,score
69,Java Core: Lập trình hướng đối tượng,2000,3.0,0.76
52,UX Research Methods,584,5.0,0.7168
48,React Pro: Core & Advanced,970,4.0,0.6739999999999999
68,C++: Cấu trúc dữ liệu & Giải thuật,1500,3.0,0.66
57,Ethical Hacking 101,758,4.0,0.6315999999999999
50,Deep Learning Essentials,490,4.0,0.578
66,Reading Technical Docs,926,3.0,0.5452
67,Lập trình C: Nền tảng cho mọi ngôn ngữ,1200,2.5,0.54
56,Big Data Processing with Spark,817,3.0,0.5234
55,Data Analytics with SQL & PowerBI,776,3.0,0.5152
54,Swift UI for iOS,688,3.0,0.4976
64,Public Speaking & Presentation,506,3.0,0.4612
65,English for IT Professionals,489,3.0,0.4578
59,SEO Strategy for 2026,428,3.0,0.4456
58,Network Security Fundamentals,340,3.0,0.428
61,Startup Fundamentals,308,3.0,0.4216
62,Modern Management & Leadership,188,3.0,0.3976
47,Fullstack Next.js 14 Masterclass,124,3.0,0.3848
60,Facebook & Google Ads Mastery,118,3.0,0.3836
63,Time Management for Devs,14,3.0,0.3628
51,Figma Masterclass 2026,11,3.0,0.36219999999999997
53,Flutter: Build Apps fast,888,1.0,0.2976
49,Python for AI & Machine Learning,480,1.0,0.216
